gene_name,l2fc_protein_starvedtorich,condition,cellline,RNA_pvalue,l2fc_RNA_starvedtorich,l2fc_protein_per_RNA,,,,,
BCR,-1.66683463,Arg,293T,0.321110161,-0.413291546,-1.253543084,,,,,
BCS1L,-1.180137258,Arg,293T,0.049635371,0.433020711,-1.613157968,,,,,
BOD1L1,-4.430848667,Arg,293T,0.004926652,1.040702231,-5.471550898,,,,,
BDH2,-0.525553833,Arg,293T,0.0052618,0.553510136,-1.079063968,,,,,
BECN1,-2.453651994,Arg,293T,0.02214849,-0.836244732,-1.617407262,,,,,
BET1,-0.18048079,Arg,293T,0.056658142,0.377652294,-0.558133084,,,,,
GLB1,-0.012889583,Arg,293T,NA,NA,NA,,,,,
TMBIM6,-0.567747783,Arg,293T,0.777389332,0.034108213,-0.601855997,,,,,
BAIAP2L1,-4.853197787,Arg,293T,NA,NA,NA,,,,,
BICD2,-2.49314277,Arg,293T,NA,NA,NA,,,,,
BLVRA,-0.381955257,Arg,293T,1.92E-06,0.753235824,-1.135191082,,,,,
ARFGEF2,0.845423061,Arg,293T,NA,NA,NA,,,,,
BIN1,-0.65346879,Arg,293T,NA,NA,NA,,,,,
HSPA5,-0.93290184,Arg,293T,0.052940429,-0.492231594,-0.440670246,,,,,
BIRC5,-2.452422493,Arg,293T,5.76E-04,-1.391711158,-1.060711335,,,,,
BIRC6,-3.248259562,Arg,293T,0.038290917,0.808422452,-4.056682015,,,,,
BLM,-3.370163741,Arg,293T,0.450866535,-0.166688255,-3.203475485,,,,,
BLMH,-0.765262373,Arg,293T,0.987508327,0.012690405,-0.777952777,,,,,
BLVRB,0.506711905,Arg,293T,5.89E-10,1.218741208,-0.712029303,,,,,
BMI1,-4.165545706,Arg,293T,0.039005723,-1.294994105,-2.870551601,,,,,
BMS1,-1.033007947,Arg,293T,2.56E-15,-1.460863618,0.427855671,,,,,
BOLA2,-0.524010003,Arg,293T,1.70E-07,0.809143649,-1.333153652,,,,,
BOLA3,-1.80578719,Arg,293T,0.027451629,-0.465484134,-1.340303056,,,,,
BOP1,-0.86247558,Arg,293T,NA,NA,NA,,,,,
CDCA8,-2.21191804,Arg,293T,0.242131308,0.371477604,-2.583395644,,,,,
CDC42EP4,-8.042877916,Arg,293T,NA,NA,NA,,,,,
CDC42EP1,0.753716108,Arg,293T,NA,NA,NA,,,,,
BPNT1,-0.37000583,Arg,293T,0.367562144,0.335106225,-0.705112055,,,,,
BPTF,-6.056287901,Arg,293T,0.153279197,0.399870276,-6.456158177,,,,,
BRAP,-1.22237675,Arg,293T,0.008108432,1.566754065,-2.789130815,,,,,
BRCC3,-1.38042565,Arg,293T,0.001340443,-0.927600149,-0.452825501,,,,,
BRD2,-2.553365868,Arg,293T,0.183274948,0.587392661,-3.140758529,,,,,
BRD3,-1.46891322,Arg,293T,0.711553326,-0.292432172,-1.176481048,,,,,
BRD4,-1.595253845,Arg,293T,0.477443856,0.50352779,-2.098781635,,,,,
BRD8,-1.787833575,Arg,293T,0.273438925,0.204466082,-1.992299657,,,,,
RNF20,-2.421828973,Arg,293T,0.414677112,0.320732028,-2.742561,,,,,
RNF40,-1.510707365,Arg,293T,0.604003493,-0.3571119,-1.153595465,,,,,
BROX,-0.71380315,Arg,293T,0.897265546,-0.068347381,-0.645455769,,,,,
BRIX1,-0.259720802,Arg,293T,0.775966309,0.035729539,-0.295450341,,,,,
BSDC1,-1.161545075,Arg,293T,NA,NA,NA,,,,,
BTF3L4,-0.665955092,Arg,293T,0.019446127,0.361498343,-1.027453435,,,,,
BTAF1,-1.038266883,Arg,293T,0.006042339,1.129957639,-2.168224522,,,,,
BTF3,-2.01431067,Arg,293T,0.003431884,-0.463920038,-1.550390632,,,,,
BUB1B,-3.084592791,Arg,293T,3.00E-05,-1.658481573,-1.426111217,,,,,
BUB3,-2.158374822,Arg,293T,0.334085113,-0.15498489,-2.003389933,,,,,
BUD13,-1.49725902,Arg,293T,0.043712317,-1.675591033,0.178332013,,,,,
BUD23,-1.999614398,Arg,293T,NA,NA,NA,,,,,
BUD31,-0.817867537,Arg,293T,7.20E-17,1.458369512,-2.27623705,,,,,
BYSL,-0.815017705,Arg,293T,0.85614874,-0.11541968,-0.699598025,,,,,
BZW1,-1.297735978,Arg,293T,0.332893623,0.200254532,-1.497990509,,,,,
BZW2,-2.45711849,Arg,293T,5.19E-04,-1.016322495,-1.440795995,,,,,
CWF19L1,-0.868194713,Arg,293T,0.595764103,0.205422431,-1.073617143,,,,,
C1GALT1C1,-9.578364203,Arg,293T,0.190238183,-0.376891837,-9.201472366,,,,,
C1QBP,-0.76359541,Arg,293T,0.312478222,-0.205216847,-0.558378563,,,,,
MTHFD1,-0.77175089,Arg,293T,6.33E-04,0.723489569,-1.495240459,,,,,
MTHFD1L,-0.62860583,Arg,293T,0.016925712,0.516246861,-1.144852691,,,,,
CC2D1A,-0.82611504,Arg,293T,NA,NA,NA,,,,,
CC2D1B,-1.346983377,Arg,293T,NA,NA,NA,,,,,
SDHC,-1.183577165,Arg,293T,NA,NA,NA,,,,,
C1orf52,-2.114286277,Arg,293T,0.009810998,1.081913855,-3.196200132,,,,,
CZIB,-0.50175104,Arg,293T,NA,NA,NA,,,,,
C1orf131,-1.480231527,Arg,293T,0.805674883,0.041436484,-1.521668011,,,,,
CAB39,-2.19128326,Arg,293T,NA,NA,NA,,,,,
SDF4,-3.655041292,Arg,293T,NA,NA,NA,,,,,
CABIN1,-1.484812173,Arg,293T,4.68E-04,-1.778654617,0.293842444,,,,,
CALCOCO2,-1.254884927,Arg,293T,6.60E-05,0.965679591,-2.220564518,,,,,
CDH2,-0.62041121,Arg,293T,0.242524266,-1.138712313,0.518301103,,,,,
CADM1,-1.583524647,Arg,293T,0.001646146,-1.552140674,-0.031383973,,,,,
IBA57,-0.212555573,Arg,293T,NA,NA,NA,,,,,
CHAF1A,-3.045968675,Arg,293T,0.816052365,0.085215635,-3.13118431,,,,,
CHAF1B,-3.468817609,Arg,293T,NA,NA,NA,,,,,
CA8,-2.985988677,Arg,293T,0.077272581,-2.064429521,-0.921559156,,,,,
CALD1,-2.695135687,Arg,293T,2.11E-04,-0.763044315,-1.932091373,,,,,
CALML5,-2.031880546,Arg,293T,NA,NA,NA,,,,,
CALM1,-1.121146947,Arg,293T,1.24E-04,-0.466729707,-0.65441724,,,,,
CALR,-0.341910637,Arg,293T,0.018450896,-1.211092178,0.86918154,,,,,
CALU,-0.678153552,Arg,293T,0.046773683,-0.724480165,0.046326613,,,,,
CANX,-1.369191328,Arg,293T,0.115927989,-0.555268027,-0.813923301,,,,,
CAMLG,-2.27652616,Arg,293T,0.92805257,-0.042410236,-2.234115924,,,,,
CAPN1,-0.832215833,Arg,293T,NA,NA,NA,,,,,
CAPN2,-0.531931175,Arg,293T,NA,NA,NA,,,,,
PPP3R1,-2.428359752,Arg,293T,NA,NA,NA,,,,,
CAND1,-0.920780988,Arg,293T,0.075926256,-0.911550959,-0.009230028,,,,,
CAP1,-0.790274437,Arg,293T,0.005877773,-1.695121989,0.904847552,,,,,
CAPRIN1,-3.238374093,Arg,293T,0.161866896,-0.731702558,-2.506671534,,,,,
CAPZB,-0.9026291,Arg,293T,0.012465048,-0.894065219,-0.008563881,,,,,
CDKN2AIP,-0.718007807,Arg,293T,NA,NA,NA,,,,,
CARMIL2,-0.742567907,Arg,293T,NA,NA,NA,,,,,
CARM1,-0.663516397,Arg,293T,NA,NA,NA,,,,,
CASC3,-0.573333952,Arg,293T,0.005745236,-1.918632795,1.345298843,,,,,
CUX1,-2.320321518,Arg,293T,0.042827439,-1.05646836,-1.263853157,,,,,
CASP2,-0.444352122,Arg,293T,NA,NA,NA,,,,,
CASP3,-1.260587668,Arg,293T,NA,NA,NA,,,,,
CASP6,-2.033595075,Arg,293T,0.521052509,-0.324407643,-1.709187432,,,,,
CASP7,-0.434298038,Arg,293T,NA,NA,NA,,,,,
CASP14,-0.56862188,Arg,293T,NA,NA,NA,,,,,
CTSB,-1.772290743,Arg,293T,NA,NA,NA,,,,,
CACTIN,-0.859631815,Arg,293T,NA,NA,NA,,,,,
CTSL,NA,Arg,293T,7.80E-04,-1.113847983,NA,,,,,
CAPZA1,-1.4129583,Arg,293T,5.58E-04,-1.930960721,0.518002421,,,,,
CAPZA2,-0.276111418,Arg,293T,0.779261233,0.190840634,-0.466952052,,,,,
CREBBP,-2.4974221,Arg,293T,2.44E-05,1.746130424,-4.243552524,,,,,
AGBL5,-1.3025047,Arg,293T,0.096071321,-1.254969809,-0.047534891,,,,,
CPD,-2.540048943,Arg,293T,NA,NA,NA,,,,,
CPO,NA,Arg,293T,NA,NA,NA,,,,,
CBR1,-0.978170118,Arg,293T,1.76E-04,-1.316456614,0.338286496,,,,,
CBS,-0.495451338,Arg,293T,NA,NA,NA,,,,,
CBWD1,-3.025655515,Arg,293T,0.027813852,-0.2747597,-2.750895815,,,,,
CBX1,-0.408676548,Arg,293T,0.015410183,-0.536107412,0.127430865,,,,,
CBX3,-1.93648251,Arg,293T,5.90E-13,-1.136142337,-0.800340173,,,,,
CBX5,-0.959541292,Arg,293T,0.195803883,0.172981405,-1.132522698,,,,,
CBX6,2.22998719,Arg,293T,NA,NA,NA,,,,,
CCDC124,-1.425676468,Arg,293T,0.464494613,-0.31940239,-1.106274078,,,,,
CCDC134,-4.48386687,Arg,293T,NA,NA,NA,,,,,
CCDC137,-1.027613815,Arg,293T,0.076840423,-0.852833426,-0.174780389,,,,,
TMEM30A,-1.149494287,Arg,293T,0.07335193,-1.456282732,0.306788444,,,,,
CCAR1,-1.549726822,Arg,293T,0.006559919,0.35591316,-1.905639982,,,,,
CCAR2,-1.03645776,Arg,293T,0.610139364,-0.399240272,-0.637217488,,,,,
CCDC12,-1.440812733,Arg,293T,0.177127445,-0.409842559,-1.030970174,,,,,
CCDC25,-0.351009585,Arg,293T,1.38E-04,0.443870555,-0.79488014,,,,,
CCDC43,-0.693418495,Arg,293T,0.845828396,0.066537772,-0.759956267,,,,,
CCDC47,-1.76395747,Arg,293T,0.076994189,-0.477125556,-1.286831914,,,,,
CCDC51,-2.718251628,Arg,293T,0.046767545,0.586794715,-3.305046343,,,,,
MIX23,-0.07803895,Arg,293T,NA,NA,NA,,,,,
CCDC86,-2.101670835,Arg,293T,NA,NA,NA,,,,,
YJU2,-1.702528003,Arg,293T,NA,NA,NA,,,,,
CCDC97,-3.799664185,Arg,293T,NA,NA,NA,,,,,
CCDC6,-1.391115962,Arg,293T,NA,NA,NA,,,,,
HCCS,-1.38122448,Arg,293T,0.310244838,-0.265969029,-1.115255451,,,,,
CCNA2,-2.965739363,Arg,293T,0.053527048,-0.553171762,-2.4125676,,,,,
CCNB1,-7.841513411,Arg,293T,1.02E-101,-3.593710823,-4.247802589,,,,,
CCNB2,-1.759687088,Arg,293T,0.194413134,0.243653091,-2.003340179,,,,,
CCNK,-3.321294455,Arg,293T,0.50661244,-0.229754639,-3.091539815,,,,,
CCNT1,-0.888401018,Arg,293T,6.76E-04,0.885569131,-1.773970149,,,,,
CCZ1,-3.186390003,Arg,293T,0.20613824,0.38363829,-3.570028293,,,,,
CDK11A,-2.588222645,Arg,293T,0.569187005,0.202019673,-2.790242318,,,,,
CDC123,-3.152173193,Arg,293T,0.003170118,0.347109953,-3.499283145,,,,,
ALCAM,-0.614409338,Arg,293T,NA,NA,NA,,,,,
CD2AP,-1.617124045,Arg,293T,0.236246944,-0.491213922,-1.125910123,,,,,
CD2BP2,-0.815521065,Arg,293T,0.002475857,-1.20155128,0.386030215,,,,,
CD63,-0.515961013,Arg,293T,1.27E-31,1.314853588,-1.830814601,,,,,
CD81,-0.522516535,Arg,293T,NA,NA,NA,,,,,
CD9,0.508887915,Arg,293T,0.057447614,1.011938233,-0.503050318,,,,,
CDC16,-1.096210855,Arg,293T,0.668461652,-0.209782369,-0.886428486,,,,,
CDC20,-1.814321095,Arg,293T,2.00E-12,-2.258558968,0.444237873,,,,,
CDC23,-2.015438637,Arg,293T,0.976436554,-0.010979841,-2.004458796,,,,,
CDC27,-4.230611839,Arg,293T,9.44E-07,-0.950770811,-3.279841027,,,,,
CDC37,-0.796773308,Arg,293T,0.071859872,-0.696274343,-0.100498965,,,,,
CDC42,-1.196686017,Arg,293T,1.83E-12,-1.284534019,0.087848002,,,,,
CDC45,-1.73815018,Arg,293T,1.15E-13,-1.545219166,-0.192931014,,,,,
CDC5L,-2.145832077,Arg,293T,3.01E-08,0.847454106,-2.993286183,,,,,
CDC6,-2.295530505,Arg,293T,0.150091155,0.268448686,-2.563979191,,,,,
CDC7,-2.7140288,Arg,293T,0.512077934,0.186977907,-2.901006707,,,,,
CDC73,-2.059488407,Arg,293T,0.23217362,-0.409284375,-1.650204032,,,,,
CDCA5,-0.455734893,Arg,293T,0.627725601,-0.322125543,-0.133609349,,,,,
CDIPT,0.04573473,Arg,293T,NA,NA,NA,,,,,
CDK1,-2.02442137,Arg,293T,0.360108429,0.172977845,-2.197399215,,,,,
CDK12,-2.23258544,Arg,293T,0.032780259,-1.415039929,-0.817545511,,,,,
CDK13,-1.732277507,Arg,293T,0.134946787,0.930167163,-2.662444671,,,,,
CDK2,-0.99801187,Arg,293T,NA,NA,NA,,,,,
CDK4,-1.099530215,Arg,293T,0.804715838,0.056562622,-1.156092837,,,,,
CDK5,-1.947973757,Arg,293T,NA,NA,NA,,,,,
CDK6,-3.638142511,Arg,293T,NA,NA,NA,,,,,
CDK7,-1.186100877,Arg,293T,8.93E-05,0.704778879,-1.890879756,,,,,
CDK9,-1.669777165,Arg,293T,NA,NA,NA,,,,,
CDK2AP1,-1.749390647,Arg,293T,NA,NA,NA,,,,,
CDKAL1,-3.633608481,Arg,293T,0.789168154,0.106139105,-3.739747585,,,,,
CDSN,-1.263413015,Arg,293T,NA,NA,NA,,,,,
CDT1,-14.27176882,Arg,293T,NA,NA,NA,,,,,
CDV3,-0.512032517,Arg,293T,0.293394029,0.559436284,-1.071468802,,,,,
C5orf51,-2.06278007,Arg,293T,0.522655629,0.334022688,-2.396802758,,,,,
CEP170,-1.40652208,Arg,293T,0.683345432,-0.162025603,-1.244496477,,,,,
CEP290,-1.217667887,Arg,293T,0.052083165,-0.480711986,-0.736955901,,,,,
CEBPZ,-1.39821713,Arg,293T,7.59E-11,0.586334702,-1.984551832,,,,,
CELF1,-0.51884108,Arg,293T,0.174213133,1.170406164,-1.689247244,,,,,
CELF2,-0.461126747,Arg,293T,NA,NA,NA,,,,,
CENPB,-0.1328643,Arg,293T,1,0,-0.1328643,,,,,
CENPE,-3.450202137,Arg,293T,1.41E-09,-1.211958202,-2.238243935,,,,,
CENPF,-6.744728264,Arg,293T,0.577411666,-0.093219637,-6.651508627,,,,,
CENPH,-3.895799643,Arg,293T,0.006934232,-1.172018702,-2.723780941,,,,,
CENPM,-4.58032372,Arg,293T,0.188646196,-0.32486318,-4.25546054,,,,,
CENPV,-0.84232659,Arg,293T,0.647396818,-0.215717184,-0.626609406,,,,,
CEPT1,-2.230813277,Arg,293T,0.342092772,-0.59292197,-1.637891307,,,,,
CERS2,-1.752953492,Arg,293T,NA,NA,NA,,,,,
CETN2,-1.891640975,Arg,293T,0.015795892,-1.130491595,-0.76114938,,,,,
CETN3,-3.410696142,Arg,293T,0.104884056,-0.557600773,-2.85309537,,,,,
CFAP20,-0.636130255,Arg,293T,0.017402086,1.326789233,-1.962919488,,,,,
CFDP1,-1.545766975,Arg,293T,1.64E-12,0.94144702,-2.487213995,,,,,
C7orf50,-1.248324837,Arg,293T,0.064343493,0.932923583,-2.18124842,,,,,
CGGBP1,-0.586102578,Arg,293T,0.101196486,0.510567545,-1.096670123,,,,,
CTH,2.64239748,Arg,293T,9.13E-45,4.061714392,-1.419316912,,,,,
C8orf33,NA,Arg,293T,0.028476555,-0.69282145,NA,,,,,
RBIS,NA,Arg,293T,NA,NA,NA,,,,,
HSPE1,-0.52497356,Arg,293T,0.049621345,-0.286527664,-0.238445896,,,,,
HSPD1,-1.257990845,Arg,293T,1.06E-17,-1.523929092,0.265938247,,,,,
CHAMP1,-0.580217467,Arg,293T,NA,NA,NA,,,,,
CHCHD2,-2.144056355,Arg,293T,3.99E-05,0.63896429,-2.783020645,,,,,
CHD1,-5.107774422,Arg,293T,9.79E-04,0.975453031,-6.083227453,,,,,
CHD1L,-2.421368263,Arg,293T,0.003123812,-0.823547093,-1.59782117,,,,,
CHD3,-5.508293345,Arg,293T,0.821767272,-0.234299811,-5.273993534,,,,,
CHD4,-1.700249248,Arg,293T,0.415920069,0.266601627,-1.966850874,,,,,
CHD6,-15.13364659,Arg,293T,0.038477157,0.663084775,-15.79673136,,,,,
CHD8,-2.92525642,Arg,293T,3.94E-05,-1.444546034,-1.480710386,,,,,
CHERP,-1.221316438,Arg,293T,NA,NA,NA,,,,,
CHID1,-2.146789017,Arg,293T,0.638921981,-0.122998418,-2.023790599,,,,,
STUB1,-1.174212382,Arg,293T,0.286181259,-0.667439849,-0.506772534,,,,,
CHEK1,-4.475180977,Arg,293T,0.627187664,0.095112711,-4.570293689,,,,,
CHMP1A,-1.088557218,Arg,293T,0.088734965,-1.289484054,0.200926837,,,,,
CHMP2A,-2.81519261,Arg,293T,0.199118423,-0.301236273,-2.513956337,,,,,
CHMP2B,-1.837733583,Arg,293T,0.138739003,0.479248474,-2.316982057,,,,,
CHMP4A,-1.069194813,Arg,293T,NA,NA,NA,,,,,
CHMP4B,-0.112396345,Arg,293T,NA,NA,NA,,,,,
CHMP5,-0.824121032,Arg,293T,3.28E-05,0.838472354,-1.662593387,,,,,
CHMP7,-1.127595225,Arg,293T,NA,NA,NA,,,,,
CHRAC1,0.200289555,Arg,293T,NA,NA,NA,,,,,
CHORDC1,-1.575953103,Arg,293T,0.052442549,-0.381376126,-1.194576977,,,,,
CARHSP1,-0.345455502,Arg,293T,NA,NA,NA,,,,,
CHTOP,-0.894837265,Arg,293T,0.506027037,0.212353034,-1.107190299,,,,,
C9orf40,-0.51206382,Arg,293T,NA,NA,NA,,,,,
CIAO1,-1.738285187,Arg,293T,0.001270602,-1.447864264,-0.290420922,,,,,
CGN,-0.37067392,Arg,293T,NA,NA,NA,,,,,
CIP2A,-3.638265145,Arg,293T,NA,NA,NA,,,,,
TRIP10,-0.585311147,Arg,293T,NA,NA,NA,,,,,
CIRBP,-0.637969993,Arg,293T,NA,NA,NA,,,,,
CISD1,-0.627459062,Arg,293T,0.07148397,0.267917813,-0.895376875,,,,,
CISD2,-0.504322923,Arg,293T,0.914169487,-0.027197942,-0.477124981,,,,,
CS,-0.623607398,Arg,293T,3.44E-07,-1.517886378,0.89427898,,,,,
CITED1,NA,Arg,293T,0.323355051,-0.537644057,NA,,,,,
CIZ1,0.224293779,Arg,293T,NA,NA,NA,,,,,
C11orf54,-0.66385226,Arg,293T,0.590436593,0.247760152,-0.911612412,,,,,
CDK5RAP3,-1.645007962,Arg,293T,NA,NA,NA,,,,,
CKAP2,-4.960760048,Arg,293T,0.041681646,-0.457348955,-4.503411092,,,,,
CKAP4,-1.267044785,Arg,293T,NA,NA,NA,,,,,
CKAP5,-1.877875568,Arg,293T,0.598123539,0.127712536,-2.005588104,,,,,
CKS1B,-0.683327178,Arg,293T,0.416546966,0.187466011,-0.870793189,,,,,
C12orf29,-1.740304323,Arg,293T,0.079450287,-0.300734644,-1.439569679,,,,,
C12orf43,-1.382053524,Arg,293T,0.268304097,-0.555366506,-0.826687018,,,,,
CLASP1,-3.17535901,Arg,293T,NA,NA,NA,,,,,
CLASP2,-2.174460352,Arg,293T,NA,NA,NA,,,,,
CLTA,-1.94010821,Arg,293T,5.99E-04,0.433648999,-2.373757209,,,,,
CLTB,-0.218741785,Arg,293T,0.400854418,0.486408604,-0.705150389,,,,,
CLCC1,-1.672251573,Arg,293T,1.45E-10,-1.915407425,0.243155851,,,,,
CLGN,-1.409705337,Arg,293T,4.16E-10,1.419643847,-2.829349184,,,,,
CLTC,-0.987526013,Arg,293T,0.172901795,-0.736834909,-0.250691104,,,,,
CLTCL1,2.768586206,Arg,293T,NA,NA,NA,,,,,
CLIC1,-0.07690617,Arg,293T,0.717010601,-0.098556216,0.021650046,,,,,
CLIC4,-0.17186278,Arg,293T,0.769920585,-0.146320101,-0.025542679,,,,,
CLIP1,-0.60022907,Arg,293T,0.071958091,0.612902122,-1.213131192,,,,,
CLP1,-1.881214245,Arg,293T,0.868342349,0.070896953,-1.952111198,,,,,
CLPTM1L,-1.834895817,Arg,293T,NA,NA,NA,,,,,
CLPB,-1.436021493,Arg,293T,7.78E-07,-2.197808851,0.761787358,,,,,
CLPP,-0.502893048,Arg,293T,0.039129748,-0.547210447,0.044317399,,,,,
CLPTM1,-4.170889455,Arg,293T,NA,NA,NA,,,,,
CLPX,-3.260743117,Arg,293T,0.016404842,0.955895493,-4.21663861,,,,,
CLSPN,-16.09517343,Arg,293T,1.72E-24,1.318028846,-17.41320227,,,,,
CLUH,-3.954486678,Arg,293T,NA,NA,NA,,,,,
SLC25A13,-1.198944255,Arg,293T,NA,NA,NA,,,,,
CMSS1,-0.964957277,Arg,293T,1.91E-07,0.725889378,-1.690846656,,,,,
CMTR1,-0.726906577,Arg,293T,NA,NA,NA,,,,,
CNP,-0.826516588,Arg,293T,NA,NA,NA,,,,,
CNBP,-0.946552357,Arg,293T,0.005384455,1.020003031,-1.966555388,,,,,
NCAPD2,-2.106437085,Arg,293T,1.04E-04,-2.143784823,0.037347738,,,,,
NCAPH,-2.27970147,Arg,293T,2.26E-08,-1.400966918,-0.878734552,,,,,
NCAPG,-1.775872342,Arg,293T,0.53539268,-0.107546973,-1.668325369,,,,,
NCAPD3,-3.376042405,Arg,293T,0.258634059,-0.315844268,-3.060198137,,,,,
NCAPG2,-1.61076988,Arg,293T,0.020112049,-0.899996574,-0.710773306,,,,,
NCAPH2,-0.905375603,Arg,293T,0.043002972,0.516068245,-1.421443848,,,,,
CNDP2,-0.68974252,Arg,293T,NA,NA,NA,,,,,
CNN2,-2.481769113,Arg,293T,NA,NA,NA,,,,,
CNN3,-2.442878237,Arg,293T,0.224771739,-0.555054933,-1.887823304,,,,,
CNOT10,-2.164323684,Arg,293T,0.226413743,0.370612921,-2.534936605,,,,,
CNOT11,-1.86675168,Arg,293T,NA,NA,NA,,,,,
CNOT1,-1.951773575,Arg,293T,0.007133449,0.764602889,-2.716376464,,,,,
CNOT2,-3.00944984,Arg,293T,0.571990961,-0.088183011,-2.921266829,,,,,
CNOT3,-5.867141142,Arg,293T,NA,NA,NA,,,,,
CNOT8,-1.845057415,Arg,293T,7.90E-04,-1.722488773,-0.122568642,,,,,
CNOT9,-1.612885095,Arg,293T,NA,NA,NA,,,,,
CNPY2,NA,Arg,293T,0.238292409,-0.260885694,NA,,,,,
CNPY3,0.05674451,Arg,293T,NA,NA,NA,,,,,
COA3,-0.634699285,Arg,293T,0.001530948,-0.78447087,0.149771585,,,,,
COA6,-2.54405437,Arg,293T,0.063275526,0.39087849,-2.93493286,,,,,
COA7,-0.36652067,Arg,293T,0.371768923,-0.340672725,-0.025847945,,,,,
COASY,-1.50128481,Arg,293T,0.175609659,0.658048713,-2.159333523,,,,,
COL14A1,NA,Arg,293T,0.421953864,-0.830260361,NA,,,,,
CFL1,-0.813578633,Arg,293T,0.099905034,0.850804746,-1.664383378,,,,,
CFL2,-0.976267248,Arg,293T,0.516526452,0.524225402,-1.500492649,,,,,
COG2,-2.874956918,Arg,293T,0.002410741,-1.528773998,-1.34618292,,,,,
COG3,-0.635165085,Arg,293T,NA,NA,NA,,,,,
COG4,-2.73166954,Arg,293T,NA,NA,NA,,,,,
COG7,-1.656942749,Arg,293T,NA,NA,NA,,,,,
COIL,-4.081776895,Arg,293T,0.046566033,0.336895173,-4.418672068,,,,,
COMMD1,-1.027874575,Arg,293T,0.140387986,0.33526648,-1.363141055,,,,,
COMMD4,-1.334751148,Arg,293T,7.41E-08,-1.45963378,0.124882632,,,,,
COMMD9,-1.954997493,Arg,293T,0.854643953,-0.156878507,-1.798118986,,,,,
COMT,-0.384801283,Arg,293T,0.00155793,-1.003924069,0.619122787,,,,,
COPA,-1.81172963,Arg,293T,0.769915551,-0.114747231,-1.696982399,,,,,
COPB1,-1.316880063,Arg,293T,9.21E-09,1.145389951,-2.462270014,,,,,
COPB2,-1.49956321,Arg,293T,0.022509727,-0.362538097,-1.137025113,,,,,
ARCN1,-1.640078963,Arg,293T,0.117309779,-0.807143224,-0.832935739,,,,,
COPE,-1.069398435,Arg,293T,0.994779187,-0.00348192,-1.065916515,,,,,
COPG1,-1.2194583,Arg,293T,0.69926382,0.119101887,-1.338560187,,,,,
COPG2,-1.67231479,Arg,293T,0.004871445,-1.86489757,0.19258278,,,,,
COPZ1,-1.0547288,Arg,293T,3.45E-04,-0.63283106,-0.42189774,,,,,
COQ3,0.232237695,Arg,293T,2.47E-15,-1.394111034,1.626348729,,,,,
COQ5,NA,Arg,293T,NA,NA,NA,,,,,
COQ7,-1.17297853,Arg,293T,0.045554365,-1.23539018,0.06241165,,,,,
COQ8A,-1.90033971,Arg,293T,NA,NA,NA,,,,,
CORO1B,-1.410162312,Arg,293T,NA,NA,NA,,,,,
CORO1C,-0.986403078,Arg,293T,0.455118117,0.62178676,-1.608189838,,,,,
CORO7,0.019074302,Arg,293T,NA,NA,NA,,,,,
COTL1,-0.07419194,Arg,293T,NA,NA,NA,,,,,
COX1,-1.317708215,Arg,293T,NA,NA,NA,,,,,
COX11,-1.549583237,Arg,293T,0.047538406,-0.924426137,-0.625157101,,,,,
COX17,-1.010970244,Arg,293T,0.002588498,0.395648082,-1.406618326,,,,,
COX20,-2.663332052,Arg,293T,0.014314829,-0.38310924,-2.280222812,,,,,
COX4I1,-2.02652226,Arg,293T,0.002654504,0.509348332,-2.535870592,,,,,
COX5A,-1.446457077,Arg,293T,0.599685536,-0.107133768,-1.339323309,,,,,
COX5B,-0.963539533,Arg,293T,9.47E-08,0.789068734,-1.752608267,,,,,
COX6C,-0.850035455,Arg,293T,8.56E-10,0.856680657,-1.706716112,,,,,
COX7A2L,-1.85062842,Arg,293T,5.01E-08,-2.037409316,0.186780896,,,,,
VPS35L,-0.570102992,Arg,293T,NA,NA,NA,,,,,
CEP131,-3.141053449,Arg,293T,NA,NA,NA,,,,,
CYP20A1,-0.322638532,Arg,293T,2.83E-06,0.932686695,-1.255325227,,,,,
CYP51A1,-6.31724755,Arg,293T,1.16E-09,-2.413928655,-3.903318896,,,,,
CIAPIN1,-0.60245774,Arg,293T,0.122511351,-0.916097831,0.313640091,,,,,
CPNE1,-0.902950392,Arg,293T,4.09E-05,-1.47142884,0.568478447,,,,,
CPNE3,-1.41660476,Arg,293T,0.065796952,-0.340434721,-1.076170039,,,,,
CPNE8,-2.99878684,Arg,293T,4.01E-06,1.952535831,-4.951322671,,,,,
CAPNS1,-0.812140712,Arg,293T,NA,NA,NA,,,,,
CPPED1,-0.437007183,Arg,293T,0.40261637,-0.647437196,0.210430013,,,,,
CPSF1,-0.855050767,Arg,293T,0.438951386,-0.447769756,-0.40728101,,,,,
CPSF2,-2.323142293,Arg,293T,0.878049702,0.040936631,-2.364078923,,,,,
CPSF3,-1.910239892,Arg,293T,0.001498121,0.491482956,-2.401722849,,,,,
CPSF4,-2.443060858,Arg,293T,NA,NA,NA,,,,,
NUDT21,-1.017609895,Arg,293T,7.63E-04,-1.008637417,-0.008972478,,,,,
CPSF6,-0.888794555,Arg,293T,0.339230778,0.729284763,-1.618079318,,,,,
CPSF7,-0.902909022,Arg,293T,NA,NA,NA,,,,,
CPT2,-0.783956888,Arg,293T,NA,NA,NA,,,,,
CPVL,-0.68190193,Arg,293T,0.140476409,0.287915001,-0.969816931,,,,,
C18orf21,-0.163103543,Arg,293T,0.353551935,0.242555989,-0.405659532,,,,,
