PG.UniProtIds,gene_name,ProteinName,PG.ProteinNames,modification,cellline,condition,mean_ks,sd_ks,se_ks,mean_l2fc,sd_l2fc,se_l2fc,,,,,,
Q01581,HMGCS1,3-hydroxy-3-methylglutaryl-CoA synthase 1,HMCS1_HUMAN,WT,293T,−Leu,0.001963,NA,NA,-5.300082687,NA,NA,,,,,,
Q01844,EWSR1,EWS RNA binding protein 1,EWS_HUMAN,GCN2 KO,293T,Rich,0.066853333,0.002646816,0.00152814,0,0,0,,,,,,
Q01844,EWSR1,EWS RNA binding protein 1,EWS_HUMAN,GCN2 KO,293T,−Leu,0.0171,0.00266,0.001535752,-1.978332776,0.284518561,0.164266868,,,,,,
Q01844,EWSR1,EWS RNA binding protein 1,EWS_HUMAN,WT,293T,Rich,0.060585,0.022323361,0.012888399,0,0,0,,,,,,
Q01844,EWSR1,EWS RNA binding protein 1,EWS_HUMAN,WT,293T,−Leu,0.0145135,0.007773225,0.004487873,-2.122532081,1.357297853,0.783636281,,,,,,
Q02750,MAP2K1,mitogen-activated protein kinase kinase 1,MP2K1_HUMAN,GCN2 KO,293T,Rich,0.065066667,0.023165669,0.013374705,0,0,0,,,,,,
Q02750,MAP2K1,mitogen-activated protein kinase kinase 1,MP2K1_HUMAN,GCN2 KO,293T,−Arg,0.01411,NA,NA,-2.376110772,NA,NA,,,,,,
Q02750,MAP2K1,mitogen-activated protein kinase kinase 1,MP2K1_HUMAN,GCN2 KO,293T,−Leu,0.019863333,0.00784291,0.004528106,-1.732021962,0.083507502,0.048213079,,,,,,
Q02750,MAP2K1,mitogen-activated protein kinase kinase 1,MP2K1_HUMAN,WT,293T,Rich,0.062343333,0.022787728,0.013156501,0,0,0,,,,,,
Q02750,MAP2K1,mitogen-activated protein kinase kinase 1,MP2K1_HUMAN,WT,293T,−Arg,0.016400667,0.011259301,0.006500561,-2.067531482,0.551506583,0.318412474,,,,,,
Q02750,MAP2K1,mitogen-activated protein kinase kinase 1,MP2K1_HUMAN,WT,293T,−Leu,0.009266333,0.001174464,6.78E-04,-2.681002754,0.423526952,0.2445234,,,,,,
Q02790,FKBP4,FKBP prolyl isomerase 4,FKBP4_HUMAN,GCN2 KO,293T,Rich,0.03853,0.010353565,0.005977633,0,0,0,,,,,,
Q02790,FKBP4,FKBP prolyl isomerase 4,FKBP4_HUMAN,GCN2 KO,293T,−Arg,0.006327333,0.002917908,0.001684655,-2.6702847,0.481451085,0.277965913,,,,,,
Q02790,FKBP4,FKBP prolyl isomerase 4,FKBP4_HUMAN,GCN2 KO,293T,−Leu,0.018133333,0.003141613,0.001813811,-1.066938985,0.560771525,0.323761591,,,,,,
Q02790,FKBP4,FKBP prolyl isomerase 4,FKBP4_HUMAN,WT,293T,Rich,0.062966667,0.018673313,0.010781043,0,0,0,,,,,,
Q02790,FKBP4,FKBP prolyl isomerase 4,FKBP4_HUMAN,WT,293T,−Arg,0.007644667,0.002046226,0.001181389,-3.035583541,0.168783974,0.097447473,,,,,,
Q02790,FKBP4,FKBP prolyl isomerase 4,FKBP4_HUMAN,WT,293T,−Leu,0.008641333,0.001168521,6.75E-04,-2.834652161,0.439148884,0.253542726,,,,,,
Q02878,RPL6,ribosomal protein L6,RL6_HUMAN,GCN2 KO,293T,Rich,0.075656667,0.020704353,0.011953664,0,0,0,,,,,,
Q02878,RPL6,ribosomal protein L6,RL6_HUMAN,GCN2 KO,293T,−Arg,0.004708,0.001771184,0.001022593,-4.053772028,0.533134323,0.307805245,,,,,,
Q02878,RPL6,ribosomal protein L6,RL6_HUMAN,GCN2 KO,293T,−Leu,0.02424,0.005500027,0.003175442,-1.633782211,0.673867657,0.389057673,,,,,,
Q02878,RPL6,ribosomal protein L6,RL6_HUMAN,WT,293T,Rich,0.1125,0.019648919,0.011344308,0,0,0,,,,,,
Q02878,RPL6,ribosomal protein L6,RL6_HUMAN,WT,293T,−Arg,0.007136667,0.001220821,7.05E-04,-3.977965726,0.008742245,0.005047338,,,,,,
Q02878,RPL6,ribosomal protein L6,RL6_HUMAN,WT,293T,−Leu,0.018025,0.004277996,0.002469902,-2.616690592,0.706959653,0.408163346,,,,,,
Q02880,TOP2B,DNA topoisomerase II beta,TOP2B_HUMAN,GCN2 KO,293T,Rich,0.1003,NA,NA,0,NA,NA,,,,,,
Q02880,TOP2B,DNA topoisomerase II beta,TOP2B_HUMAN,GCN2 KO,293T,−Arg,0.004866,NA,NA,-4.365441475,NA,NA,,,,,,
Q02880,TOP2B,DNA topoisomerase II beta,TOP2B_HUMAN,GCN2 KO,293T,−Leu,0.04543,NA,NA,-1.142604395,NA,NA,,,,,,
Q02880,TOP2B,DNA topoisomerase II beta,TOP2B_HUMAN,WT,293T,Rich,0.09857,0.045862946,0.026478984,0,0,0,,,,,,
Q02880,TOP2B,DNA topoisomerase II beta,TOP2B_HUMAN,WT,293T,−Arg,0.004288,8.51E-04,4.92E-04,-4.454491803,0.408844521,0.236046494,,,,,,
Q02880,TOP2B,DNA topoisomerase II beta,TOP2B_HUMAN,WT,293T,−Leu,0.01013,NA,NA,-3.692860733,NA,NA,,,,,,
Q02952,AKAP12,A-kinase anchoring protein 12,AKA12_HUMAN,GCN2 KO,293T,Rich,0.040936667,0.014772767,0.008529061,0,0,0,,,,,,
Q02952,AKAP12,A-kinase anchoring protein 12,AKA12_HUMAN,GCN2 KO,293T,−Arg,0.0061505,0.002488309,0.001436626,-2.590086327,0.182282967,0.10524112,,,,,,
Q02952,AKAP12,A-kinase anchoring protein 12,AKA12_HUMAN,GCN2 KO,293T,−Leu,0.015463333,0.004647089,0.002682998,-1.371578659,0.299180809,0.172732121,,,,,,
Q02952,AKAP12,A-kinase anchoring protein 12,AKA12_HUMAN,WT,293T,Rich,0.073813333,0.005161796,0.002980164,0,0,0,,,,,,
Q02952,AKAP12,A-kinase anchoring protein 12,AKA12_HUMAN,WT,293T,−Arg,0.014573,0.008961871,0.005174139,-2.461980168,0.821043642,0.474029768,,,,,,
Q02952,AKAP12,A-kinase anchoring protein 12,AKA12_HUMAN,WT,293T,−Leu,0.01188,0.001796051,0.001036951,-2.700667074,0.225589652,0.130244246,,,,,,
Q02978,SLC25A11,solute carrier family 25 member 11,M2OM_HUMAN,GCN2 KO,293T,Rich,0.0724,0.025498271,0.014721433,0,0,0,,,,,,
Q02978,SLC25A11,solute carrier family 25 member 11,M2OM_HUMAN,GCN2 KO,293T,−Leu,0.0103195,9.34E-04,5.39E-04,-2.767394249,0.388242862,0.224152121,,,,,,
Q02978,SLC25A11,solute carrier family 25 member 11,M2OM_HUMAN,WT,293T,Rich,0.0569,NA,NA,0,NA,NA,,,,,,
Q02978,SLC25A11,solute carrier family 25 member 11,M2OM_HUMAN,WT,293T,−Leu,0.004599,NA,NA,-3.62903655,NA,NA,,,,,,
Q03252,LMNB2,lamin B2,LMNB2_HUMAN,GCN2 KO,293T,Rich,0.060313333,0.006941775,0.004007835,0,0,0,,,,,,
Q03252,LMNB2,lamin B2,LMNB2_HUMAN,GCN2 KO,293T,−Arg,0.003932,NA,NA,-4.023157867,NA,NA,,,,,,
Q03252,LMNB2,lamin B2,LMNB2_HUMAN,GCN2 KO,293T,−Leu,0.02236,0.006027114,0.003479756,-1.464515353,0.509923447,0.294404439,,,,,,
Q03252,LMNB2,lamin B2,LMNB2_HUMAN,WT,293T,Rich,0.137233333,0.040047763,0.023121587,0,0,0,,,,,,
Q03252,LMNB2,lamin B2,LMNB2_HUMAN,WT,293T,−Arg,0.016086667,0.001300244,7.51E-04,-3.057756941,0.362208454,0.209121148,,,,,,
Q03252,LMNB2,lamin B2,LMNB2_HUMAN,WT,293T,−Leu,0.025653333,0.010286507,0.005938918,-2.464817968,0.436045921,0.25175123,,,,,,
Q03701,CEBPZ,CCAAT enhancer binding protein zeta,CEBPZ_HUMAN,WT,293T,Rich,0.08279,NA,NA,0,NA,NA,,,,,,
Q03701,CEBPZ,CCAAT enhancer binding protein zeta,CEBPZ_HUMAN,WT,293T,−Leu,0.005986,NA,NA,-3.789792335,NA,NA,,,,,,
Q04637,EIF4G1,eukaryotic translation initiation factor 4 gamma 1,IF4G1_HUMAN,GCN2 KO,293T,Rich,0.05792,0.010307264,0.005950902,0,0,0,,,,,,
Q04637,EIF4G1,eukaryotic translation initiation factor 4 gamma 1,IF4G1_HUMAN,GCN2 KO,293T,−Arg,0.007585,0.002224833,0.001284508,-2.955024208,0.672320374,0.388164349,,,,,,
Q04637,EIF4G1,eukaryotic translation initiation factor 4 gamma 1,IF4G1_HUMAN,GCN2 KO,293T,−Leu,0.009793667,6.65E-04,3.84E-04,-2.5499923,0.171869765,0.099229055,,,,,,
Q04637,EIF4G1,eukaryotic translation initiation factor 4 gamma 1,IF4G1_HUMAN,WT,293T,Rich,0.09093,0.015843696,0.009147362,0,0,0,,,,,,
Q04637,EIF4G1,eukaryotic translation initiation factor 4 gamma 1,IF4G1_HUMAN,WT,293T,−Arg,0.011365333,0.002417334,0.001395649,-3.007896447,0.087347109,0.050429877,,,,,,
Q04637,EIF4G1,eukaryotic translation initiation factor 4 gamma 1,IF4G1_HUMAN,WT,293T,−Leu,0.015186667,0.001679325,9.70E-04,-2.573865843,0.407395548,0.235209929,,,,,,
Q04760,GLO1,glyoxalase I,LGUL_HUMAN,GCN2 KO,293T,Rich,0.06741,NA,NA,0,NA,NA,,,,,,
Q04760,GLO1,glyoxalase I,LGUL_HUMAN,GCN2 KO,293T,−Arg,0.01058,NA,NA,-2.671622998,NA,NA,,,,,,
Q04760,GLO1,glyoxalase I,LGUL_HUMAN,GCN2 KO,293T,−Leu,0.009422,NA,NA,-2.838857388,NA,NA,,,,,,
Q04760,GLO1,glyoxalase I,LGUL_HUMAN,WT,293T,Rich,0.077175,0.026339728,0.015207249,0,0,0,,,,,,
Q04760,GLO1,glyoxalase I,LGUL_HUMAN,WT,293T,−Arg,0.006221,NA,NA,-3.944807245,NA,NA,,,,,,
Q04760,GLO1,glyoxalase I,LGUL_HUMAN,WT,293T,−Leu,0.007599,0.001784738,0.001030419,-3.321140739,0.1602919,0.092544572,,,,,,
Q04837,SSBP1,single stranded DNA binding protein 1,SSBP_HUMAN,GCN2 KO,293T,Rich,0.056226667,0.031400886,0.01812931,0,0,0,,,,,,
Q04837,SSBP1,single stranded DNA binding protein 1,SSBP_HUMAN,GCN2 KO,293T,−Leu,0.014393333,0.002168533,0.001252003,-1.841459038,0.6170016,0.35622604,,,,,,
Q04837,SSBP1,single stranded DNA binding protein 1,SSBP_HUMAN,WT,293T,Rich,0.077826667,0.034837948,0.020113699,0,0,0,,,,,,
Q04837,SSBP1,single stranded DNA binding protein 1,SSBP_HUMAN,WT,293T,−Arg,0.0010238,5.63E-04,3.25E-04,-5.938902449,1.456140048,0.840702849,,,,,,
Q04837,SSBP1,single stranded DNA binding protein 1,SSBP_HUMAN,WT,293T,−Leu,0.011088333,0.001377356,7.95E-04,-2.710699094,0.740172571,0.427338833,,,,,,
Q04917,YWHAH,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta,1433F_HUMAN,GCN2 KO,293T,Rich,0.037815,0.008167083,0.004715268,0,0,0,,,,,,
Q04917,YWHAH,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta,1433F_HUMAN,GCN2 KO,293T,−Arg,0.012815,0.002609224,0.001506436,-1.559211361,0.609840449,0.352091547,,,,,,
Q04917,YWHAH,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta,1433F_HUMAN,GCN2 KO,293T,−Leu,0.01524,NA,NA,-1.072011245,NA,NA,,,,,,
Q04917,YWHAH,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta,1433F_HUMAN,WT,293T,Rich,0.051695,0.014205775,0.008201708,0,0,0,,,,,,
Q04917,YWHAH,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta,1433F_HUMAN,WT,293T,−Arg,0.01759,0.001965757,0.00113493,-1.532024087,0.239994027,0.138560616,,,,,,
Q04917,YWHAH,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta,1433F_HUMAN,WT,293T,−Leu,0.01241,2.26E-04,1.31E-04,-2.03087779,0.375251731,0.216651688,,,,,,
Q05639,EEF1A2,eukaryotic translation elongation factor 1 alpha 2,EF1A2_HUMAN,GCN2 KO,293T,Rich,0.009468,NA,NA,0,NA,NA,,,,,,
Q05639,EEF1A2,eukaryotic translation elongation factor 1 alpha 2,EF1A2_HUMAN,GCN2 KO,293T,−Leu,0.01932,NA,NA,1.028963483,NA,NA,,,,,,
Q05639,EEF1A2,eukaryotic translation elongation factor 1 alpha 2,EF1A2_HUMAN,WT,293T,Rich,0.01144,NA,NA,0,NA,NA,,,,,,
Q05639,EEF1A2,eukaryotic translation elongation factor 1 alpha 2,EF1A2_HUMAN,WT,293T,−Leu,0.01422,NA,NA,0.313834413,NA,NA,,,,,,
Q05682,CALD1,caldesmon 1,CALD1_HUMAN,GCN2 KO,293T,Rich,0.06333,0.032074364,0.018518142,0,0,0,,,,,,
Q05682,CALD1,caldesmon 1,CALD1_HUMAN,GCN2 KO,293T,−Leu,0.01773,9.90E-05,5.72E-05,-1.737698587,0.772613826,0.4460688,,,,,,
Q05682,CALD1,caldesmon 1,CALD1_HUMAN,WT,293T,Rich,0.04547,NA,NA,0,NA,NA,,,,,,
Q05682,CALD1,caldesmon 1,CALD1_HUMAN,WT,293T,−Leu,0.01522,NA,NA,-1.578946645,NA,NA,,,,,,
Q06203,PPAT,phosphoribosyl pyrophosphate amidotransferase,PUR1_HUMAN,GCN2 KO,293T,Rich,0.04988,0.030815714,0.01779146,0,0,0,,,,,,
Q06203,PPAT,phosphoribosyl pyrophosphate amidotransferase,PUR1_HUMAN,GCN2 KO,293T,−Leu,0.015,0.004200214,0.002424995,-1.609599464,0.546140261,0.315314227,,,,,,
Q06203,PPAT,phosphoribosyl pyrophosphate amidotransferase,PUR1_HUMAN,WT,293T,Rich,0.04546,NA,NA,0,NA,NA,,,,,,
Q06203,PPAT,phosphoribosyl pyrophosphate amidotransferase,PUR1_HUMAN,WT,293T,−Leu,0.0122,NA,NA,-1.897716536,NA,NA,,,,,,
Q06210,GFPT1,glutamine--fructose-6-phosphate transaminase 1,GFPT1_HUMAN,GCN2 KO,293T,Rich,0.065935,0.007502403,0.004331514,0,0,0,,,,,,
Q06210,GFPT1,glutamine--fructose-6-phosphate transaminase 1,GFPT1_HUMAN,GCN2 KO,293T,−Arg,0.004123,NA,NA,-3.878265456,NA,NA,,,,,,
Q06210,GFPT1,glutamine--fructose-6-phosphate transaminase 1,GFPT1_HUMAN,GCN2 KO,293T,−Leu,0.0158245,0.010840654,0.006258855,-2.24710419,1.243262127,0.717797724,,,,,,
Q06210,GFPT1,glutamine--fructose-6-phosphate transaminase 1,GFPT1_HUMAN,WT,293T,Rich,0.05366,NA,NA,0,NA,NA,,,,,,
Q06210,GFPT1,glutamine--fructose-6-phosphate transaminase 1,GFPT1_HUMAN,WT,293T,−Leu,0.008259,NA,NA,-2.699808039,NA,NA,,,,,,
Q07020,RPL18,ribosomal protein L18,RL18_HUMAN,GCN2 KO,293T,Rich,0.07689,0.033059058,0.019086656,0,0,0,,,,,,
Q07020,RPL18,ribosomal protein L18,RL18_HUMAN,GCN2 KO,293T,−Arg,0.0068475,0.005221984,0.003014914,-3.325460259,1.049481596,0.605918482,,,,,,
Q07020,RPL18,ribosomal protein L18,RL18_HUMAN,GCN2 KO,293T,−Leu,0.013395,0.004631549,0.002674026,-2.583669733,0.279464582,0.161348952,,,,,,
Q07020,RPL18,ribosomal protein L18,RL18_HUMAN,WT,293T,Rich,0.11018,0.039016858,0.022526393,0,0,0,,,,,,
Q07020,RPL18,ribosomal protein L18,RL18_HUMAN,WT,293T,−Arg,0.013313667,0.008061576,0.004654353,-3.150848545,0.400705661,0.231347521,,,,,,
Q07020,RPL18,ribosomal protein L18,RL18_HUMAN,WT,293T,−Leu,0.013835667,0.007313444,0.004222419,-3.115482106,0.875584847,0.505519147,,,,,,
Q07021,C1QBP,complement C1q binding protein,C1QBP_HUMAN,GCN2 KO,293T,Rich,0.062146667,0.028016467,0.016175315,0,0,0,,,,,,
Q07021,C1QBP,complement C1q binding protein,C1QBP_HUMAN,GCN2 KO,293T,−Arg,0.008942,NA,NA,-2.380731431,NA,NA,,,,,,
Q07021,C1QBP,complement C1q binding protein,C1QBP_HUMAN,GCN2 KO,293T,−Leu,0.0149,0.003922639,0.002264737,-2.009241157,0.59279244,0.342248875,,,,,,
Q07021,C1QBP,complement C1q binding protein,C1QBP_HUMAN,WT,293T,Rich,0.085003333,0.045929242,0.02651726,0,0,0,,,,,,
Q07021,C1QBP,complement C1q binding protein,C1QBP_HUMAN,WT,293T,−Arg,0.0063995,0.00151533,8.75E-04,-3.810342924,0.56127332,0.324051302,,,,,,
Q07021,C1QBP,complement C1q binding protein,C1QBP_HUMAN,WT,293T,−Leu,0.010087333,0.005298838,0.003059285,-3.110325911,0.551562658,0.318444849,,,,,,
Q07065,CKAP4,cytoskeleton associated protein 4,CKAP4_HUMAN,GCN2 KO,293T,Rich,0.03776,0.0120491,0.006956551,0,0,0,,,,,,
Q07065,CKAP4,cytoskeleton associated protein 4,CKAP4_HUMAN,GCN2 KO,293T,−Arg,0.0010125,4.38E-04,2.53E-04,-5.253934797,1.112682821,0.642407726,,,,,,
Q07065,CKAP4,cytoskeleton associated protein 4,CKAP4_HUMAN,GCN2 KO,293T,−Leu,0.0027065,0.001627053,9.39E-04,-3.90843358,0.457633521,0.264214837,,,,,,
Q07065,CKAP4,cytoskeleton associated protein 4,CKAP4_HUMAN,WT,293T,Rich,0.07022,0.028239823,0.016304269,0,0,0,,,,,,
Q07065,CKAP4,cytoskeleton associated protein 4,CKAP4_HUMAN,WT,293T,−Arg,0.002491,0.001185111,6.84E-04,-4.531264557,0.212586611,0.122736937,,,,,,
Q07065,CKAP4,cytoskeleton associated protein 4,CKAP4_HUMAN,WT,293T,−Leu,0.003166,0.001586748,9.16E-04,-4.451289726,1.619164101,0.93482483,,,,,,
Q07666,KHDRBS1,"KH RNA binding domain containing, signal transduction associated 1",KHDR1_HUMAN,GCN2 KO,293T,Rich,0.06931,0.029730848,0.017165113,0,0,0,,,,,,
Q07666,KHDRBS1,"KH RNA binding domain containing, signal transduction associated 1",KHDR1_HUMAN,GCN2 KO,293T,−Arg,0.005642,NA,NA,-3.050687794,NA,NA,,,,,,
Q07666,KHDRBS1,"KH RNA binding domain containing, signal transduction associated 1",KHDR1_HUMAN,GCN2 KO,293T,−Leu,0.01878,0.006459001,0.003729106,-1.856039745,0.712410199,0.41131022,,,,,,
Q07666,KHDRBS1,"KH RNA binding domain containing, signal transduction associated 1",KHDR1_HUMAN,WT,293T,Rich,0.078086667,0.011670516,0.006737975,0,0,0,,,,,,
Q07666,KHDRBS1,"KH RNA binding domain containing, signal transduction associated 1",KHDR1_HUMAN,WT,293T,−Arg,0.009908,0.002307464,0.001332215,-2.99400689,0.483686312,0.279256422,,,,,,
Q07666,KHDRBS1,"KH RNA binding domain containing, signal transduction associated 1",KHDR1_HUMAN,WT,293T,−Leu,0.012439667,0.003379096,0.001950922,-2.675080082,0.337392088,0.194793413,,,,,,
Q08211,DHX9,DExH-box helicase 9,DHX9_HUMAN,GCN2 KO,293T,Rich,0.04955,0.021687593,0.012521338,0,0,0,,,,,,
Q08211,DHX9,DExH-box helicase 9,DHX9_HUMAN,GCN2 KO,293T,−Arg,0.00425755,0.005343535,0.003085092,-4.239465641,3.327051949,1.920874339,,,,,,
Q08211,DHX9,DExH-box helicase 9,DHX9_HUMAN,GCN2 KO,293T,−Leu,0.006807333,0.003310699,0.001911433,-2.925628723,1.054273846,0.608685289,,,,,,
Q08211,DHX9,DExH-box helicase 9,DHX9_HUMAN,WT,293T,Rich,0.08232,0.033394848,0.019280525,0,0,0,,,,,,
Q08211,DHX9,DExH-box helicase 9,DHX9_HUMAN,WT,293T,−Arg,0.005657333,0.002718835,0.00156972,-3.916466761,0.932248559,0.538233957,,,,,,
Q08211,DHX9,DExH-box helicase 9,DHX9_HUMAN,WT,293T,−Leu,0.01055,NA,NA,-2.238033388,NA,NA,,,,,,
Q08752,PPID,peptidylprolyl isomerase D,PPID_HUMAN,GCN2 KO,293T,Rich,0.073906667,0.032145422,0.018559168,0,0,0,,,,,,
Q08752,PPID,peptidylprolyl isomerase D,PPID_HUMAN,GCN2 KO,293T,−Arg,0.010858333,0.001875209,0.001082652,-2.687656001,0.880546994,0.508384044,,,,,,
Q08752,PPID,peptidylprolyl isomerase D,PPID_HUMAN,GCN2 KO,293T,−Leu,0.019455,0.014290628,0.008250698,-2.051220972,0.259146548,0.149618329,,,,,,
Q08752,PPID,peptidylprolyl isomerase D,PPID_HUMAN,WT,293T,Rich,0.122866667,0.023237972,0.013416449,0,0,0,,,,,,
Q08752,PPID,peptidylprolyl isomerase D,PPID_HUMAN,WT,293T,−Arg,0.017191,0.01066973,0.006160171,-3.001939522,0.976519956,0.563794059,,,,,,
Q08752,PPID,peptidylprolyl isomerase D,PPID_HUMAN,WT,293T,−Leu,0.00976,0.001527351,8.82E-04,-3.734939185,0.526557158,0.304007917,,,,,,
Q08945,SSRP1,structure specific recognition protein 1,SSRP1_HUMAN,GCN2 KO,293T,Rich,0.083193333,0.042333704,0.024441376,0,0,0,,,,,,
Q08945,SSRP1,structure specific recognition protein 1,SSRP1_HUMAN,GCN2 KO,293T,−Arg,0.014303333,0.00252706,0.001458999,-2.408964015,1.046552811,0.604227547,,,,,,
Q08945,SSRP1,structure specific recognition protein 1,SSRP1_HUMAN,GCN2 KO,293T,−Leu,0.0245,0.001391294,8.03E-04,-1.619837784,0.741962697,0.428372363,,,,,,
Q08945,SSRP1,structure specific recognition protein 1,SSRP1_HUMAN,WT,293T,Rich,0.12381,0.0500179,0.028877848,0,0,0,,,,,,
Q08945,SSRP1,structure specific recognition protein 1,SSRP1_HUMAN,WT,293T,−Arg,0.0235,0.009265241,0.00534929,-2.396378045,0.875096513,0.505237208,,,,,,
Q08945,SSRP1,structure specific recognition protein 1,SSRP1_HUMAN,WT,293T,−Leu,0.01539,0.007051262,0.004071048,-3.027939398,0.089848143,0.051873849,,,,,,
Q08J23,NSUN2,NOP2/Sun RNA methyltransferase 2,NSUN2_HUMAN,GCN2 KO,293T,Rich,0.06629,0.01834235,0.010589961,0,0,0,,,,,,
Q08J23,NSUN2,NOP2/Sun RNA methyltransferase 2,NSUN2_HUMAN,GCN2 KO,293T,−Leu,0.008908,0.00332623,0.0019204,-2.91958758,0.956174718,0.552047731,,,,,,
Q08J23,NSUN2,NOP2/Sun RNA methyltransferase 2,NSUN2_HUMAN,WT,293T,Rich,0.1006,NA,NA,0,NA,NA,,,,,,
Q08J23,NSUN2,NOP2/Sun RNA methyltransferase 2,NSUN2_HUMAN,WT,293T,−Arg,0.002053,NA,NA,-5.614752867,NA,NA,,,,,,
Q09028,RBBP4,"RB binding protein 4, chromatin remodeling factor",RBBP4_HUMAN,GCN2 KO,293T,Rich,0.1259,0.03458598,0.019968225,0,0,0,,,,,,
Q09028,RBBP4,"RB binding protein 4, chromatin remodeling factor",RBBP4_HUMAN,GCN2 KO,293T,−Arg,0.01307,4.64E-04,2.68E-04,-3.234379767,0.429962211,0.248238798,,,,,,
Q09028,RBBP4,"RB binding protein 4, chromatin remodeling factor",RBBP4_HUMAN,GCN2 KO,293T,−Leu,0.01663,0.007254916,0.004188627,-2.745313891,0.76879814,0.443865813,,,,,,
Q09028,RBBP4,"RB binding protein 4, chromatin remodeling factor",RBBP4_HUMAN,WT,293T,Rich,0.137733333,0.029532073,0.01705035,0,0,0,,,,,,
Q09028,RBBP4,"RB binding protein 4, chromatin remodeling factor",RBBP4_HUMAN,WT,293T,−Arg,0.021926667,0.006073009,0.003506253,-2.667571007,0.646192942,0.373079669,,,,,,
Q09028,RBBP4,"RB binding protein 4, chromatin remodeling factor",RBBP4_HUMAN,WT,293T,−Leu,0.014488333,0.005976634,0.003450611,-3.302753583,0.849928037,0.490706181,,,,,,
Q09161,NCBP1,nuclear cap binding protein subunit 1,NCBP1_HUMAN,WT,293T,Rich,0.062525,0.015421999,0.008903895,0,0,0,,,,,,
Q09161,NCBP1,nuclear cap binding protein subunit 1,NCBP1_HUMAN,WT,293T,−Leu,0.004014,6.80E-04,3.93E-04,-3.949470533,0.605189236,0.349406168,,,,,,
Q09666,AHNAK,AHNAK nucleoprotein,AHNK_HUMAN,GCN2 KO,293T,Rich,0.03081,0.006699172,0.003867769,0,0,0,,,,,,
Q09666,AHNAK,AHNAK nucleoprotein,AHNK_HUMAN,GCN2 KO,293T,−Arg,0.010981667,0.003660472,0.002113375,-1.527239263,0.268719191,0.155145097,,,,,,
Q09666,AHNAK,AHNAK nucleoprotein,AHNK_HUMAN,GCN2 KO,293T,−Leu,0.015842,0.014392945,0.00830977,-1.311995411,1.141502676,0.659046877,,,,,,
Q09666,AHNAK,AHNAK nucleoprotein,AHNK_HUMAN,WT,293T,Rich,0.058316667,0.02319002,0.013388764,0,0,0,,,,,,
Q09666,AHNAK,AHNAK nucleoprotein,AHNK_HUMAN,WT,293T,−Arg,0.01316,0.003368071,0.001944557,-2.087182551,0.555398072,0.320659226,,,,,,
Q09666,AHNAK,AHNAK nucleoprotein,AHNK_HUMAN,WT,293T,−Leu,0.01714,NA,NA,-2.196611451,NA,NA,,,,,,
Q10567,AP1B1,adaptor related protein complex 1 subunit beta 1,AP1B1_HUMAN,GCN2 KO,293T,Rich,0.05093,NA,NA,0,NA,NA,,,,,,
Q10567,AP1B1,adaptor related protein complex 1 subunit beta 1,AP1B1_HUMAN,GCN2 KO,293T,−Arg,0.00965,NA,NA,-2.39991487,NA,NA,,,,,,
Q10567,AP1B1,adaptor related protein complex 1 subunit beta 1,AP1B1_HUMAN,GCN2 KO,293T,−Leu,0.01916,NA,NA,-1.410418156,NA,NA,,,,,,
Q10567,AP1B1,adaptor related protein complex 1 subunit beta 1,AP1B1_HUMAN,WT,293T,Rich,0.1506,NA,NA,0,NA,NA,,,,,,
Q10567,AP1B1,adaptor related protein complex 1 subunit beta 1,AP1B1_HUMAN,WT,293T,−Arg,0.006621,NA,NA,-4.507528829,NA,NA,,,,,,
Q10567,AP1B1,adaptor related protein complex 1 subunit beta 1,AP1B1_HUMAN,WT,293T,−Leu,0.009477,NA,NA,-3.990147522,NA,NA,,,,,,
Q12874,SF3A3,splicing factor 3a subunit 3,SF3A3_HUMAN,GCN2 KO,293T,Rich,0.06651,0.029116786,0.016810584,0,0,0,,,,,,
Q12874,SF3A3,splicing factor 3a subunit 3,SF3A3_HUMAN,GCN2 KO,293T,−Arg,0.011155667,0.002574774,0.001486546,-2.512734661,0.718090842,0.414589941,,,,,,
Q12874,SF3A3,splicing factor 3a subunit 3,SF3A3_HUMAN,GCN2 KO,293T,−Leu,0.003904,6.31E-04,3.64E-04,-4.267644823,0.34841778,0.201159099,,,,,,
Q12874,SF3A3,splicing factor 3a subunit 3,SF3A3_HUMAN,WT,293T,Rich,0.089505,0.041287965,0.023837618,0,0,0,,,,,,
Q12874,SF3A3,splicing factor 3a subunit 3,SF3A3_HUMAN,WT,293T,−Arg,0.016795,0.003627458,0.002094314,-2.349815325,0.376681088,0.217476928,,,,,,
Q12874,SF3A3,splicing factor 3a subunit 3,SF3A3_HUMAN,WT,293T,−Leu,0.003086,NA,NA,-4.288587268,NA,NA,,,,,,
Q12904,AIMP1,aminoacyl tRNA synthetase complex interacting multifunctional protein 1,AIMP1_HUMAN,GCN2 KO,293T,Rich,0.044945,0.008619632,0.004976547,0,0,0,,,,,,
